"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
4775,"AG-10",09,"Barbuda","NA","AG","http://en.wikipedia.org/wiki/Barbuda",
50,"AG-U-A","U-A","(unassigned)","NA","AG",,
51,"AI-U-A","U-A","(unassigned)","NA","AI",,
52,"AL-BR","BR","Berat","EU","AL","http://en.wikipedia.org/wiki/Berat",
53,"AL-BU","BU","Bulqizë","EU","AL","http://en.wikipedia.org/wiki/Bulqizë",
54,"AL-DI","DI","Dibër","EU","AL","http://en.wikipedia.org/wiki/Dibër",
55,"AL-DL","DL","Delvinë","EU","AL","http://en.wikipedia.org/wiki/Delvinë",
56,"AL-DR","DR","Durrës","EU","AL","http://en.wikipedia.org/wiki/Durrës",
57,"AL-DV","DV","Devoll","EU","AL","http://en.wikipedia.org/wiki/Devoll",
58,"AL-EL","EL","Elbasan","EU","AL","http://en.wikipedia.org/wiki/Elbasan",
59,"AL-ER","ER","Kolonjë","EU","AL","http://en.wikipedia.org/wiki/Kolonjë",
60,"AL-FR","FR","Fier","EU","AL","http://en.wikipedia.org/wiki/Fier",
61,"AL-GJ","GJ","Gjirokastër","EU","AL","http://en.wikipedia.org/wiki/Gjirokastër",
62,"AL-GR","GR","Gramsh","EU","AL","http://en.wikipedia.org/wiki/Gramsh",
63,"AL-HA","HA","Has","EU","AL","http://en.wikipedia.org/wiki/Has",
64,"AL-KA","KA","Kavajë","EU","AL","http://en.wikipedia.org/wiki/Kavajë",
65,"AL-KB","KB","Kurbin","EU","AL","http://en.wikipedia.org/wiki/Kurbin",
66,"AL-KC","KC","Kuçovë","EU","AL","http://en.wikipedia.org/wiki/Kuçovë",
67,"AL-KO","KO","Korçë","EU","AL","http://en.wikipedia.org/wiki/Korcë",
68,"AL-KR","KR","Krujë","EU","AL","http://en.wikipedia.org/wiki/Krujë",
69,"AL-KU","KU","Kukës","EU","AL","http://en.wikipedia.org/wiki/Kukës",
70,"AL-LB","LB","Librazhd","EU","AL","http://en.wikipedia.org/wiki/Librazhd",
71,"AL-LE","LE","Lezhë","EU","AL","http://en.wikipedia.org/wiki/Lezhë",
72,"AL-LU","LU","Lushnjë","EU","AL","http://en.wikipedia.org/wiki/Lushnjë",
73,"AL-MK","MK","Mallakastër","EU","AL","http://en.wikipedia.org/wiki/Mallakastër",
74,"AL-MM","MM","Malësi e Madhe","EU","AL","http://en.wikipedia.org/wiki/Malësi_e_Madhe",
75,"AL-MR","MR","Mirditë","EU","AL","http://en.wikipedia.org/wiki/Mirditë",
76,"AL-MT","MT","Mat","EU","AL","http://en.wikipedia.org/wiki/Mat",
77,"AL-PG","PG","Pogradec","EU","AL","http://en.wikipedia.org/wiki/Pogradec",
78,"AL-PQ","PQ","Peqin","EU","AL","http://en.wikipedia.org/wiki/Peqin",
79,"AL-PR","PR","Përmet","EU","AL","http://en.wikipedia.org/wiki/Përmet",
80,"AL-PU","PU","Pukë","EU","AL","http://en.wikipedia.org/wiki/Pukë",
81,"AL-SH","SH","Shkodër","EU","AL","http://en.wikipedia.org/wiki/Shkodër",
82,"AL-SK","SK","Skrapar","EU","AL","http://en.wikipedia.org/wiki/Skrapar",
83,"AL-SR","SR","Sarandë","EU","AL","http://en.wikipedia.org/wiki/Sarandë",
84,"AL-TE","TE","Tepelenë","EU","AL","http://en.wikipedia.org/wiki/Tepelenë",
85,"AL-TP","TP","Tropojë","EU","AL","http://en.wikipedia.org/wiki/Tropojë",
86,"AL-TR","TR","Tiranë","EU","AL","http://en.wikipedia.org/wiki/Tiranë",
87,"AL-U-A","U-A","(unassigned)","EU","AL",,
88,"AL-VL","VL","Vlorë","EU","AL","http://en.wikipedia.org/wiki/Vlorë",
89,"AM-AG","AG","Aragatsotn Province","AS","AM","http://en.wikipedia.org/wiki/Aragatsotn_Province","Aragacotn, Արագածոտն"
90,"AM-AR","AR","Ararat Province","AS","AM","http://en.wikipedia.org/wiki/Ararat_Province","Արարատ"
91,"AM-AV","AV","Armavir Province","AS","AM","http://en.wikipedia.org/wiki/Armavir_Province","Արմավիր"
92,"AM-ER","ER","Yerevan (capital district)","AS","AM","http://en.wikipedia.org/wiki/Yerevan","Erevan"
93,"AM-GR","GR","Gegharkunik Province","AS","AM","http://en.wikipedia.org/wiki/Gegharkunik_Province","Գեղարքունիք"
94,"AM-KT","KT","Kotayk Province","AS","AM","http://en.wikipedia.org/wiki/Kotayk_Province","Kotayk', Կոտայք"
95,"AM-LO","LO","Lori Province","AS","AM","http://en.wikipedia.org/wiki/Lori_Province","Lory, Լոռի"
96,"AM-SH","SH","Shirak Province","AS","AM","http://en.wikipedia.org/wiki/Shirak_Province","Sirak, Շիրակ"
97,"AM-SU","SU","Syunik Province","AS","AM","http://en.wikipedia.org/wiki/Syunik_Province","Syunik'"
98,"AM-TV","TV","Tavush Province","AS","AM","http://en.wikipedia.org/wiki/Tavush_Province","Tavus, Տավուշ"
99,"AM-U-A","U-A","(unassigned)","AS","AM",,
100,"AM-VD","VD","Vayots Dzor Province","AS","AM","http://en.wikipedia.org/wiki/Vayots_Dzor_Province","Vayoc Jor, Վայոց Ձոր"
101,"AN-U-A","U-A","(unassigned)","NA","AN",,
102,"AO-BGO","BGO","Bengo Province","AF","AO","http://en.wikipedia.org/wiki/Bengo_Province",
103,"AO-BGU","BGU","Benguela Province","AF","AO","http://en.wikipedia.org/wiki/Benguela_ Province",
104,"AO-BIE","BIE","Bié Province","AF","AO","http://en.wikipedia.org/wiki/Bi%C3%A9_Province",
105,"AO-CAB","CAB","Cabinda Province","AF","AO","http://en.wikipedia.org/wiki/Cabinda_ Province",
106,"AO-CCU","CCU","Cuando Cubango Province","AF","AO","http://en.wikipedia.org/wiki/Cuando_Cubango_Province",
107,"AO-CNN","CNN","Cunene Province","AF","AO","http://en.wikipedia.org/wiki/Cunene_ Province",
108,"AO-CNO","CNO","Cuanza Norte Province","AF","AO","http://en.wikipedia.org/wiki/Cuanza_Norte_ Province",
109,"AO-CUS","CUS","Cuanza Sul Province","AF","AO","http://en.wikipedia.org/wiki/Cuanza_Sul_ Province",
110,"AO-HUA","HUA","Huambo Province","AF","AO","http://en.wikipedia.org/wiki/Huambo_ Province",
111,"AO-HUI","HUI","Huíla Province","AF","AO","http://en.wikipedia.org/wiki/Hu%C3%ADla_Province",
112,"AO-LNO","LNO","Lunda Norte Province","AF","AO","http://en.wikipedia.org/wiki/Lunda_Norte_ Province",
113,"AO-LSU","LSU","Lunda Sul Province","AF","AO","http://en.wikipedia.org/wiki/Lunda_Sul_ Province",
114,"AO-LUA","LUA","Luanda Province","AF","AO","http://en.wikipedia.org/wiki/Luanda_ Province",
115,"AO-MAL","MAL","Malanje Province","AF","AO","http://en.wikipedia.org/wiki/Malanje_Province","Malange Province"
116,"AO-MOX","MOX","Moxico Province","AF","AO","http://en.wikipedia.org/wiki/Moxico_ Province",
117,"AO-NAM","NAM","Namibe Province","AF","AO","http://en.wikipedia.org/wiki/Namibe_ Province","Moçamedes Province"
118,"AO-U-A","U-A","(unassigned)","AF","AO",,
119,"AO-UIG","UIG","Uíge Province","AF","AO","http://en.wikipedia.org/wiki/U%C3%ADge_Province",
120,"AO-ZAI","ZAI","Zaire Province","AF","AO","http://en.wikipedia.org/wiki/Zaire_Province",
121,"AQ-U-A","U-A","(unassigned)","AN","AQ",,
122,"AR-A","A","Salta Province","SA","AR","http://en.wikipedia.org/wiki/Salta_Province",
123,"AR-B","B","Buenos Aires Province","SA","AR","http://en.wikipedia.org/wiki/Buenos_Aires_Province",
124,"AR-C","C","Capital federal","SA","AR","http://en.wikipedia.org/wiki/Buenos_Aires",
125,"AR-D","D","San Luis Province","SA","AR","http://en.wikipedia.org/wiki/San_Luis_Province",
126,"AR-E","E","Entre Ríos Province","SA","AR","http://en.wikipedia.org/wiki/Entre_R%C3%ADos_Province",
4125,"AR-F","F","La Rioja Province","SA","AR","http://en.wikipedia.org/wiki/La_Rioja_Province_(Argentina)",
127,"AR-G","G","Santiago del Estero Province","SA","AR","http://en.wikipedia.org/wiki/Santiago_del_Estero_Province",
128,"AR-H","H","Chaco Province","SA","AR","http://en.wikipedia.org/wiki/Chaco_Province",
129,"AR-J","J","San Juan Province","SA","AR","http://en.wikipedia.org/wiki/San_Juan_Province_(Argentina)",
130,"AR-K","K","Catamarca Province","SA","AR","http://en.wikipedia.org/wiki/Catamarca_Province",
131,"AR-L","L","La Pampa Province","SA","AR","http://en.wikipedia.org/wiki/La_Pampa_Province",
132,"AR-M","M","Mendoza Province","SA","AR","http://en.wikipedia.org/wiki/Mendoza_Province",
133,"AR-N","N","Misiones Province","SA","AR","http://en.wikipedia.org/wiki/Misiones_Province",
134,"AR-P","P","Formosa Province","SA","AR","http://en.wikipedia.org/wiki/Formosa_Province",
135,"AR-Q","Q","Neuquén Province","SA","AR","http://en.wikipedia.org/wiki/Neuqu%C3%A9n_Province",
136,"AR-R","R","Río Negro Province","SA","AR","http://en.wikipedia.org/wiki/R%C3%ADo_Negro_Province",
137,"AR-S","S","Santa Fe Province","SA","AR","http://en.wikipedia.org/wiki/Santa_Fe_Province",
138,"AR-T","T","Tucumán Province","SA","AR","http://en.wikipedia.org/wiki/Tucum%C3%A1n_Province",
139,"AR-U","U","Chubut Province","SA","AR","http://en.wikipedia.org/wiki/Chubut_Province",
140,"AR-U-A","U-A","(unassigned)","SA","AR",,
141,"AR-V","V","Tierra del Fuego Province","SA","AR","http://en.wikipedia.org/wiki/Tierra_del_Fuego_Province_(Argentina)",
142,"AR-W","W","Corrientes Province","SA","AR","http://en.wikipedia.org/wiki/Corrientes_Province",
143,"AR-X","X","Córdoba Province","SA","AR","http://en.wikipedia.org/wiki/C%C3%B3rdoba_Province_(Argentina)",
144,"AR-Y","Y","Jujuy Province","SA","AR","http://en.wikipedia.org/wiki/Jujuy_Province",
145,"AR-Z","Z","Santa Cruz Province","SA","AR","http://en.wikipedia.org/wiki/Santa_Cruz_Province_(Argentina)",
146,"AS-U-A","U-A","(unassigned)","OC","AS",,
147,"AT-1",1,"Burgenland","EU","AT","http://en.wikipedia.org/wiki/Burgenland",
148,"AT-2",2,"Carinthia","EU","AT","http://en.wikipedia.org/wiki/Carinthia","Kärnten"
149,"AT-3",3,"Lower Austria","EU","AT","http://en.wikipedia.org/wiki/Lower_Austria","Niederösterreich"
150,"AT-4",4,"Upper Austria","EU","AT","http://en.wikipedia.org/wiki/Upper_Austria","Oberösterreich"
151,"AT-5",5,"Salzburg","EU","AT","http://en.wikipedia.org/wiki/Salzburg",
152,"AT-6",6,"Styria","EU","AT","http://en.wikipedia.org/wiki/Styria","Steiermark"
153,"AT-7",7,"Tyrol","EU","AT","http://en.wikipedia.org/wiki/Tyrol","Tirol"
154,"AT-8",8,"Vorarlberg","EU","AT","http://en.wikipedia.org/wiki/Vorarlberg",
155,"AT-9",9,"Vienna","EU","AT","http://en.wikipedia.org/wiki/Vienna","Wien"
156,"AT-U-A","U-A","(unassigned)","EU","AT",,
157,"AU-AAT","AAT","Australian Antarctic Territory","OC","AU","http://en.wikipedia.org/wiki/Australian_Antarctic_Territory",
158,"AU-ACT","ACT","Australian Capital Territory","OC","AU","http://en.wikipedia.org/wiki/Australian_Capital_Territory",
159,"AU-NSW","NSW","New South Wales","OC","AU","http://en.wikipedia.org/wiki/New_South_Wales",
160,"AU-NT","NT","Northern Territory","OC","AU","http://en.wikipedia.org/wiki/Northern_Territory",
161,"AU-QLD","QLD","Queensland","OC","AU","http://en.wikipedia.org/wiki/Queensland",
162,"AU-SA","SA","South Australia","OC","AU","http://en.wikipedia.org/wiki/South_Australia",
163,"AU-TAS","TAS","Tasmania","OC","AU","http://en.wikipedia.org/wiki/Tasmania",
164,"AU-U-A","U-A","(unassigned)","OC","AU",,
165,"AU-VIC","VIC","Victoria","OC","AU","http://en.wikipedia.org/wiki/Victoria_(Australia)",
166,"AU-WA","WA","Western Australia","OC","AU","http://en.wikipedia.org/wiki/Western_Australia",
167,"AW-U-A","U-A","(unassigned)","NA","AW",,
168,"AZ-AB","AB","Ali Bayramli","AS","AZ","http://en.wikipedia.org/wiki/Ali_Bayramli",
169,"AZ-ABS","ABS","Abseron","AS","AZ","http://en.wikipedia.org/wiki/Abseron",
170,"AZ-AGA","AGA","Agstafa","AS","AZ","http://en.wikipedia.org/wiki/Agstafa",
171,"AZ-AGC","AGC","Agcabadi","AS","AZ","http://en.wikipedia.org/wiki/Agcabadi",
172,"AZ-AGM","AGM","Agdam","AS","AZ","http://en.wikipedia.org/wiki/Agdam",
173,"AZ-AGS","AGS","Agdas","AS","AZ","http://en.wikipedia.org/wiki/Agdas",
174,"AZ-AGU","AGU","Agsu","AS","AZ","http://en.wikipedia.org/wiki/Agsu",
175,"AZ-AST","AST","Astara","AS","AZ","http://en.wikipedia.org/wiki/Astara",
176,"AZ-BA","BA","Baki","AS","AZ","http://en.wikipedia.org/wiki/Baki",
177,"AZ-BAB","BAB","Babak","AS","AZ","http://en.wikipedia.org/wiki/Babak",
178,"AZ-BAL","BAL","Balakan","AS","AZ","http://en.wikipedia.org/wiki/Balakan",
179,"AZ-BAR","BAR","Barda","AS","AZ","http://en.wikipedia.org/wiki/Barda",
180,"AZ-BEY","BEY","Beylagan","AS","AZ","http://en.wikipedia.org/wiki/Beylagan",
181,"AZ-BIL","BIL","Bilasuvar","AS","AZ","http://en.wikipedia.org/wiki/Bilasuvar",
182,"AZ-CAB","CAB","Cabrayll","AS","AZ","http://en.wikipedia.org/wiki/Cabrayll",
183,"AZ-CAL","CAL","Calilabad","AS","AZ","http://en.wikipedia.org/wiki/Calilabad",
184,"AZ-CUL","CUL","Culfa","AS","AZ","http://en.wikipedia.org/wiki/Culfa",
185,"AZ-DAS","DAS","Daskasan","AS","AZ","http://en.wikipedia.org/wiki/Daskasan",
186,"AZ-DAV","DAV","Davaci","AS","AZ","http://en.wikipedia.org/wiki/Davaci",
187,"AZ-FUZ","FUZ","Fuzuli","AS","AZ","http://en.wikipedia.org/wiki/Fuzuli",
188,"AZ-GA","GA","Ganca","AS","AZ","http://en.wikipedia.org/wiki/Ganca",
189,"AZ-GAD","GAD","Gadabay","AS","AZ","http://en.wikipedia.org/wiki/Gadabay",
190,"AZ-GOR","GOR","Goranboy","AS","AZ","http://en.wikipedia.org/wiki/Goranboy",
191,"AZ-GOY","GOY","Goycay","AS","AZ","http://en.wikipedia.org/wiki/Goycay",
192,"AZ-HAC","HAC","Haciqabul","AS","AZ","http://en.wikipedia.org/wiki/Haciqabul",
193,"AZ-IMI","IMI","Imisli","AS","AZ","http://en.wikipedia.org/wiki/Imisli",
194,"AZ-ISM","ISM","Ismayilli","AS","AZ","http://en.wikipedia.org/wiki/Ismayilli",
195,"AZ-KAL","KAL","Kalbacar","AS","AZ","http://en.wikipedia.org/wiki/Kalbacar",
196,"AZ-KUR","KUR","Kurdamir","AS","AZ","http://en.wikipedia.org/wiki/Kurdamir",
197,"AZ-LA","LA","Lankaran","AS","AZ","http://en.wikipedia.org/wiki/Lankaran",
198,"AZ-LAC","LAC","Lacin","AS","AZ","http://en.wikipedia.org/wiki/Lacin",
199,"AZ-LER","LER","Lerik","AS","AZ","http://en.wikipedia.org/wiki/Lerik",
200,"AZ-MAS","MAS","Masalli","AS","AZ","http://en.wikipedia.org/wiki/Masalli",
201,"AZ-MI","MI","Mingacevir","AS","AZ","http://en.wikipedia.org/wiki/Mingacevir",
202,"AZ-NA","NA","Naftalan","AS","AZ","http://en.wikipedia.org/wiki/Naftalan",
203,"AZ-NEF","NEF","Neftcala","AS","AZ","http://en.wikipedia.org/wiki/Neftcala",
204,"AZ-NX","NX","Naxcivan","AS","AZ","http://en.wikipedia.org/wiki/Naxcivan",
205,"AZ-OGU","OGU","Oguz","AS","AZ","http://en.wikipedia.org/wiki/Oguz",
206,"AZ-ORD","ORD","Ordubad","AS","AZ","http://en.wikipedia.org/wiki/Ordubad",
207,"AZ-QAB","QAB","Qabala","AS","AZ","http://en.wikipedia.org/wiki/Qabala",
208,"AZ-QAX","QAX","Qax","AS","AZ","http://en.wikipedia.org/wiki/Qax",
209,"AZ-QAZ","QAZ","Qazax","AS","AZ","http://en.wikipedia.org/wiki/Qazax",
210,"AZ-QBA","QBA","Quba","AS","AZ","http://en.wikipedia.org/wiki/Quba",
211,"AZ-QBI","QBI","Qubadli","AS","AZ","http://en.wikipedia.org/wiki/Qubadli",
212,"AZ-QOB","QOB","Qobustan","AS","AZ","http://en.wikipedia.org/wiki/Qobustan",
213,"AZ-QUS","QUS","Qusar","AS","AZ","http://en.wikipedia.org/wiki/Qusar",
214,"AZ-SA","SA","Saki","AS","AZ","http://en.wikipedia.org/wiki/Saki",
215,"AZ-SAB","SAB","Sabirabad","AS","AZ","http://en.wikipedia.org/wiki/Sabirabad",
216,"AZ-SAD","SAD","Sadarak","AS","AZ","http://en.wikipedia.org/wiki/Sadarak",
217,"AZ-SAH","SAH","Sahbuz","AS","AZ","http://en.wikipedia.org/wiki/Sahbuz",
218,"AZ-SAL","SAL","Salyan","AS","AZ","http://en.wikipedia.org/wiki/Salyan",
219,"AZ-SAR","SAR","Sarur","AS","AZ","http://en.wikipedia.org/wiki/Sarur",
220,"AZ-SAT","SAT","Saatli","AS","AZ","http://en.wikipedia.org/wiki/Saatli",
221,"AZ-SIY","SIY","Siyazan","AS","AZ","http://en.wikipedia.org/wiki/Siyazan",
222,"AZ-SKR","SKR","Samkir","AS","AZ","http://en.wikipedia.org/wiki/Samkir",
223,"AZ-SM","SM","Sumqayit","AS","AZ","http://en.wikipedia.org/wiki/Sumqayit",
224,"AZ-SMI","SMI","Samaxi","AS","AZ","http://en.wikipedia.org/wiki/Samaxi",
225,"AZ-SMX","SMX","Samux","AS","AZ","http://en.wikipedia.org/wiki/Samux",
226,"AZ-SS","SS","Susa","AS","AZ","http://en.wikipedia.org/wiki/Susa",
227,"AZ-TAR","TAR","Tartar","AS","AZ","http://en.wikipedia.org/wiki/Tartar",
228,"AZ-TOV","TOV","Tovuz","AS","AZ","http://en.wikipedia.org/wiki/Tovuz",
229,"AZ-U-A","U-A","(unassigned)","AS","AZ",,
230,"AZ-UCA","UCA","Ucar","AS","AZ","http://en.wikipedia.org/wiki/Ucar",
231,"AZ-XA","XA","Xankandi","AS","AZ","http://en.wikipedia.org/wiki/Xankandi",
232,"AZ-XAC","XAC","Xacmaz","AS","AZ","http://en.wikipedia.org/wiki/Xacmaz",
233,"AZ-XAN","XAN","Xanlar","AS","AZ","http://en.wikipedia.org/wiki/Xanlar",
234,"AZ-XCI","XCI","Xocali","AS","AZ","http://en.wikipedia.org/wiki/Xocali",
235,"AZ-XIZ","XIZ","Xizi","AS","AZ","http://en.wikipedia.org/wiki/Xizi",
236,"AZ-XVD","XVD","Xocavand","AS","AZ","http://en.wikipedia.org/wiki/Xocavand",
237,"AZ-YAR","YAR","Yardimli","AS","AZ","http://en.wikipedia.org/wiki/Yardimli",
238,"AZ-YE","YE","Yevlax","AS","AZ","http://en.wikipedia.org/wiki/Yevlax",
239,"AZ-ZAN","ZAN","Zangilan","AS","AZ","http://en.wikipedia.org/wiki/Zangilan",
240,"AZ-ZAQ","ZAQ","Zaqatala","AS","AZ","http://en.wikipedia.org/wiki/Zaqatala",
241,"AZ-ZAR","ZAR","Zardab","AS","AZ","http://en.wikipedia.org/wiki/Zardab",
242,"BA-BIH","BIH","Federacija Bosna i Hercegovina","EU","BA","http://en.wikipedia.org/wiki/Federacija_Bosna_i_Hercegovina",
243,"BA-SRP","SRP","Republika Srpska","EU","BA","http://en.wikipedia.org/wiki/Republika_Srpska",
244,"BA-U-A","U-A","(unassigned)","EU","BA",,
245,"BB-01",01,"Christ Church","NA","BB","http://en.wikipedia.org/wiki/Christ_Church",
246,"BB-02",02,"Saint Andrew","NA","BB","http://en.wikipedia.org/wiki/Saint_Andrew",
247,"BB-03",03,"Saint George","NA","BB","http://en.wikipedia.org/wiki/Saint_George",
248,"BB-04",04,"Saint James","NA","BB","http://en.wikipedia.org/wiki/Saint_James",
249,"BB-05",05,"Saint John","NA","BB","http://en.wikipedia.org/wiki/Saint_John",
250,"BB-06",06,"Saint Joseph","NA","BB","http://en.wikipedia.org/wiki/Saint_Joseph",
251,"BB-07",07,"Saint Lucy","NA","BB","http://en.wikipedia.org/wiki/Saint_Lucy",
252,"BB-08",08,"Saint Michael","NA","BB","http://en.wikipedia.org/wiki/Saint_Michael",
253,"BB-09",09,"Saint Peter","NA","BB","http://en.wikipedia.org/wiki/Saint_Peter",
254,"BB-10",10,"Saint Philip","NA","BB","http://en.wikipedia.org/wiki/Saint_Philip",
255,"BB-11",11,"Saint Thomas","NA","BB","http://en.wikipedia.org/wiki/Saint_Thomas",
256,"BB-U-A","U-A","(unassigned)","NA","BB",,
4743,"BD-1",1,"Barisal Division","AS","BD","http://en.wikipedia.org/wiki/Barisal_Division","Barisal bibhag"
4744,"BD-2",2,"Chittagong Division","AS","BD","http://en.wikipedia.org/wiki/Chittagong_Division","Chittagong bibhag"
4742,"BD-3",3,"Dhaka Division","AS","BD","http://en.wikipedia.org/wiki/Dhaka_Division","Dhaka bibhag"
4741,"BD-4",4,"Khulna Division","AS","BD","http://en.wikipedia.org/wiki/Khulna_Division","Khulna bibhag"
4740,"BD-5",5,"Rajshahi Division","AS","BD","http://en.wikipedia.org/wiki/Rajshahi_Division","Rajshahi bibhag"
4739,"BD-6",6,"Sylhet Division","AS","BD","http://en.wikipedia.org/wiki/Sylhet_Division","Sylhet bibhag"
321,"BD-U-A","U-A","(unassigned)","AS","BD",,
